triplet_id,source_query_id,doc_id,pair_type,query_type,negative_type,negative_score,negative_source_doc_id,negative_source_pair_id,score_sim_query,score_sim_bundle,score_sim_span,score_sim_bridge
l1_de_1409.0575_0000_triplet,l1_de_1409.0575_0000,1409.0575,figure+table,causal_explanation,in_doc_swap,0.2647,1409.0575,,,,,
l1_de_1409.0575_0000_triplet,l1_de_1409.0575_0000,1409.0575,figure+table,causal_explanation,same_type_hard_plus,0.2217,1707.09457,1707.09457_xl_0027,0.1389,0.24,0.0968,0.093
l1_de_1409.0575_0001_triplet,l1_de_1409.0575_0001,1409.0575,figure+table,discrepancy_analysis,in_doc_swap,0.2963,1409.0575,,,,,
l1_de_1409.0575_0001_triplet,l1_de_1409.0575_0001,1409.0575,figure+table,discrepancy_analysis,same_type_hard_plus,0.2029,2103.11320,2103.11320_xl_0142,0.1515,0.213,0.0,0.0893
l1_de_1801.04385_0002_triplet,l1_de_1801.04385_0002,1801.04385,figure+table,causal_explanation,in_doc_swap,0.2564,1801.04385,,,,,
l1_de_1801.04385_0002_triplet,l1_de_1801.04385_0002,1801.04385,figure+table,causal_explanation,same_type_hard_plus,0.2202,2005.07293,2005.07293_xl_0111,0.1429,0.2135,0.0968,0.1071
l1_de_1801.04385_0003_triplet,l1_de_1801.04385_0003,1801.04385,figure+table,discrepancy_analysis,in_doc_swap,0.2564,1801.04385,,,,,
l1_de_1801.04385_0003_triplet,l1_de_1801.04385_0003,1801.04385,figure+table,discrepancy_analysis,same_type_hard_plus,0.219,1707.09457,1707.09457_xl_0027,0.1935,0.2121,0.0,0.0278
l1_de_1809.02208_0004_triplet,l1_de_1809.02208_0004,1809.02208,figure+table,causal_explanation,in_doc_swap,0.8529,1809.02208,,,,,
l1_de_1809.02208_0004_triplet,l1_de_1809.02208_0004,1809.02208,figure+table,causal_explanation,same_type_hard_plus,0.202,1910.10872,1910.10872_xl_0102,0.2143,0.1776,0.0,0.0244
l1_de_1809.02208_0005_triplet,l1_de_1809.02208_0005,1809.02208,figure+table,discrepancy_analysis,in_doc_swap,0.8529,1809.02208,,,,,
l1_de_1809.02208_0005_triplet,l1_de_1809.02208_0005,1809.02208,figure+table,discrepancy_analysis,same_type_hard_plus,0.1874,2005.07293,2005.07293_xl_0122,0.1429,0.2188,0.0357,0.0909
l1_de_1903.08136_0006_triplet,l1_de_1903.08136_0006,1903.08136,figure+table,causal_explanation,in_doc_swap,0.3438,1903.08136,,,,,
l1_de_1903.08136_0006_triplet,l1_de_1903.08136_0006,1903.08136,figure+table,causal_explanation,same_type_hard_plus,0.1964,1707.09457,1707.09457_xl_0027,0.1429,0.1863,0.0294,0.0645
